sample_id,aum
1900,7.225318130579862
2241,7.16242094039917
1743,7.104113241759213
2300,7.0312681761654945
2299,6.7349151871421125
1847,6.64254319451072
1442,6.591610134731639
1926,6.5474573438817805
1876,6.520498839291659
1932,6.3953687564893205
1759,6.2352855498140505
2181,6.217406460913745
3168,6.187279126860878
2142,6.121332341974432
1745,6.113000007109209
2164,6.042910822955045
2076,6.039634409817782
1374,6.0277492913332855
1220,5.991760368780656
3003,5.9556593743237585
1950,5.833040332794189
1738,5.801030221852389
1628,5.635493644801053
1901,5.608418057181618
3065,5.575102389942516
3671,5.5718051065098155
1655,5.55132360350002
2043,5.52827032696117
1120,5.526173576441678
59,5.50110732614994
2227,5.475884235988964
2997,5.46046246398579
3725,5.454455749013207
2096,5.421456545049494
1409,5.417085446010937
1531,5.41650216254321
2209,5.403516522320834
2493,5.385277893326499
1894,5.384873809191314
1956,5.373457630655983
1432,5.372458433021198
833,5.367284220728007
2042,5.347584613886746
2024,5.3282029617916455
5027,5.322024473277005
3081,5.320401594855569
2679,5.299999505823309
2393,5.286036894538186
2582,5.26691208969463
1303,5.2637251886454495
117,5.255278394303539
2193,5.231901144981384
2371,5.2181961243802855
1240,5.203198567303744
3409,5.1992463610389015
1972,5.181201845949347
1897,5.172597234899348
1716,5.158110669526187
2772,5.139181156591936
2243,5.132309723984111
1448,5.131751363927668
2045,5.096833662553267
2127,5.075279582630504
1974,5.055117503079501
1385,5.054698699170893
3565,5.032206478985873
2463,5.028473992781206
1812,5.016959578340704
2058,5.003875504298644
1548,4.981403201276605
3519,4.9742499795827
1669,4.968020723082803
2216,4.9572905377908185
3404,4.9502361124212095
1748,4.936969668214972
1607,4.915657522461631
1309,4.910983939604326
2668,4.904076183925976
3456,4.901651835441589
2233,4.8869814265858045
1787,4.865145965055986
3357,4.86278519413688
2787,4.860197617790916
2109,4.856922869248824
2520,4.837588442455639
2355,4.834960164807059
2354,4.829635227810253
1943,4.8286096925085245
1663,4.822292134436694
1960,4.821666938608343
2839,4.820449681715532
1418,4.815288725766268
2105,4.81508569392291
1658,4.81442757953297
2321,4.806266990574923
2308,4.806215418468822
1585,4.804429544102062
1833,4.801035159284418
2104,4.799763969941573
1147,4.7859710953452375
2270,4.785568397695368
1842,4.7823870889165185
2496,4.7815668626265095
2837,4.777173318646171
1528,4.775624843077226
2465,4.771160320802168
1463,4.762413269823248
949,4.757263513857668
1796,4.753526410189542
1819,4.746552595225247
2757,4.7368047345768325
1627,4.727507051554594
1584,4.725229644775391
2318,4.724442648887634
2852,4.716106484153054
2821,4.709810280799866
3197,4.7065743500536135
2547,4.70263162092729
2446,4.699570388143713
6132,4.69770450483669
2196,4.697492623329163
1524,4.696266050501303
2656,4.694443160837347
1553,4.691499481417916
1206,4.685315642573617
5186,4.67850182056427
1797,4.668309270251881
1582,4.662674427032471
2276,4.654360877383839
4374,4.637255128947172
1089,4.630368874289773
1452,4.620129513740539
1268,4.616750764304942
193,4.609555200826038
1379,4.606675635684621
73,4.60249724374576
2419,4.598052664236589
2845,4.593840160153129
1185,4.593563197959553
1286,4.588340365344828
3388,4.584402152624997
1354,4.584088593179529
2120,4.56102103320035
2625,4.560259602286599
2613,4.559993878277865
2074,4.559823753617026
1690,4.558682030981237
1504,4.5461990540677855
3093,4.543574458902532
3340,4.538575707782399
2350,4.538031426343051
2897,4.537478120760484
3006,4.536815608631481
1973,4.53606150150299
2093,4.530953113599257
1602,4.51547126011415
2040,4.512772137468511
2373,4.506863903999329
6091,4.487253616072914
1836,4.481453171643344
1682,4.481425653804433
1311,4.480014082518491
2315,4.476093435287476
2005,4.475578126040372
1326,4.460416840423237
1562,4.456204146688635
1826,4.45568473610011
3537,4.451191626895557
1604,4.433177803863178
1805,4.4330552057786425
1416,4.427845610271801
3978,4.427032507549633
632,4.42539195662195
2564,4.421307484128258
964,4.419132466207851
2100,4.410470379482616
1928,4.40623196200891
1990,4.39518675587394
1051,4.393398348580707
2106,4.392692638527263
1988,4.377750157226216
2620,4.370135736465454
2415,4.368656401200728
